cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
lawan kezaliman dukung purbaya brantas korupsi ,lawan kezaliman dukung purbaya brantas korupsi,"['lawan', 'kezaliman', 'dukung', 'purbaya', 'brantas', 'korupsi']","['lawan', 'kezaliman', 'dukung', 'purbaya', 'brantas', 'korupsi']","['lawan', 'zalim', 'dukung', 'purbaya', 'brantas', 'korupsi']"
fix kalo pur kena resufle kita di pimpin anak sd org pintar kalah oleh org dungu yg punya kekuasan,tetap kalau pur kena resufle kita di pimpin anak sd orang pintar kalah oleh orang dungu yang punya kekuasan,"['tetap', 'kalau', 'pur', 'kena', 'resufle', 'kita', 'di', 'pimpin', 'anak', 'sd', 'orang', 'pintar', 'kalah', 'oleh', 'orang', 'dungu', 'yang', 'punya', 'kekuasan']","['tetap', 'kalau', 'pur', 'kena', 'resufle', 'pimpin', 'anak', 'sd', 'orang', 'pintar', 'kalah', 'orang', 'dungu', 'punya', 'kekuasan']","['tetap', 'kalau', 'pur', 'kena', 'resufle', 'pimpin', 'anak', 'sd', 'orang', 'pintar', 'kalah', 'orang', 'dungu', 'punya', 'kuas']"
tombol fix demo kalo pak purbaya di reshufle ,tombol tetap demo kalau bapak purbaya di reshufle,"['tombol', 'tetap', 'demo', 'kalau', 'bapak', 'purbaya', 'di', 'reshufle']","['tombol', 'tetap', 'demo', 'kalau', 'bapak', 'purbaya', 'reshufle']","['tombol', 'tetap', 'demo', 'kalau', 'bapak', 'purbaya', 'reshufle']"
rakyat indonesia tidak boleh tingal diam dua orang yang paling bertangungjawab atas bobroknya tata kelola pemerintahan dan keuangan negara luhut dan jokowi layak diadili dmo besar besaran opsi yg tidak bisa dihindarkan,rakyat indonesia tidak boleh tingal diam dua orang yang paling bertangungjawab atas bobroknya tata kelola pemerintahan dan keuangan negara luhut dan jokowi layak diadili dmo besar besaran pilihan yang tidak bisa dihindarkan,"['rakyat', 'indonesia', 'tidak', 'boleh', 'tingal', 'diam', 'dua', 'orang', 'yang', 'paling', 'bertangungjawab', 'atas', 'bobroknya', 'tata', 'kelola', 'pemerintahan', 'dan', 'keuangan', 'negara', 'luhut', 'dan', 'jokowi', 'layak', 'diadili', 'dmo', 'besar', 'besaran', 'pilihan', 'yang', 'tidak', 'bisa', 'dihindarkan']","['rakyat', 'indonesia', 'tidak', 'tingal', 'diam', 'orang', 'paling', 'bertangungjawab', 'atas', 'bobroknya', 'tata', 'kelola', 'pemerintahan', 'keuangan', 'negara', 'luhut', 'jokowi', 'layak', 'diadili', 'dmo', 'besar', 'besaran', 'pilihan', 'tidak', 'dihindarkan']","['rakyat', 'indonesia', 'tidak', 'tingal', 'diam', 'orang', 'paling', 'bertangungjawab', 'atas', 'bobrok', 'tata', 'kelola', 'perintah', 'uang', 'negara', 'luhut', 'jokowi', 'layak', 'adil', 'dmo', 'besar', 'besar', 'pilih', 'tidak', 'hindar']"
genk solo mulai gusar ,genk solo mulai gusar,"['genk', 'solo', 'mulai', 'gusar']","['genk', 'solo', 'mulai', 'gusar']","['genk', 'solo', 'mulai', 'gusar']"
rakyat bersamamu pa mentri kekuasan tertingi ada di rakyat kalau pa menteri di ganti kami siap luluhlsntahkan dpr,rakyat bersamamu bapak mentri kekuasan tertingi ada di rakyat kalau bapak menteri di ganti kami siap luluhlsntahkan dpr,"['rakyat', 'bersamamu', 'bapak', 'mentri', 'kekuasan', 'tertingi', 'ada', 'di', 'rakyat', 'kalau', 'bapak', 'menteri', 'di', 'ganti', 'kami', 'siap', 'luluhlsntahkan', 'dpr']","['rakyat', 'bersamamu', 'bapak', 'mentri', 'kekuasan', 'tertingi', 'rakyat', 'kalau', 'bapak', 'menteri', 'ganti', 'siap', 'luluhlsntahkan', 'dpr']","['rakyat', 'sama', 'bapak', 'tri', 'kuas', 'tingi', 'rakyat', 'kalau', 'bapak', 'menteri', 'ganti', 'siap', 'luluhlsntahkan', 'dpr']"
kalau saya sih mending yg di resufle luhut udah kelaman di pemerintahan udah mah segala jabatan dia makan,kalau aku sih mending yang di resufle luhut sudah kelaman di pemerintahan sudah mah segala jabatan dia makan,"['kalau', 'aku', 'sih', 'mending', 'yang', 'di', 'resufle', 'luhut', 'sudah', 'kelaman', 'di', 'pemerintahan', 'sudah', 'mah', 'segala', 'jabatan', 'dia', 'makan']","['kalau', 'aku', 'sih', 'mending', 'resufle', 'luhut', 'kelaman', 'pemerintahan', 'mah', 'segala', 'jabatan', 'makan']","['kalau', 'aku', 'sih', 'mending', 'resufle', 'luhut', 'kelam', 'perintah', 'mah', 'segala', 'jabat', 'makan']"
siapa takutalohukbar,siapa takutalohukbar,"['siapa', 'takutalohukbar']","['siapa', 'takutalohukbar']","['siapa', 'takutalohukbar']"
kalau memang terjadirakyat tau kan harus berbuat apa,kalau memang terjadirakyat tau kan harus berbuat apa,"['kalau', 'memang', 'terjadirakyat', 'tau', 'kan', 'harus', 'berbuat', 'apa']","['kalau', 'memang', 'terjadirakyat', 'tau', 'kan', 'berbuat', 'apa']","['kalau', 'memang', 'terjadirakyat', 'tau', 'kan', 'buat', 'apa']"
mau kerja bener ada aja halanganya ya alah,mau kerja benar ada saja halanganya ya alah,"['mau', 'kerja', 'benar', 'ada', 'saja', 'halanganya', 'ya', 'alah']","['mau', 'kerja', 'benar', 'halanganya', 'alah']","['mau', 'kerja', 'benar', 'halanganya', 'alah']"
persiapkan sunscren kalian persiapan demo geden,persiapkan sunscren kalian persiapan demo geden,"['persiapkan', 'sunscren', 'kalian', 'persiapan', 'demo', 'geden']","['persiapkan', 'sunscren', 'kalian', 'persiapan', 'demo', 'geden']","['siap', 'sunscren', 'kalian', 'siap', 'demo', 'geden']"
kakek luhut dan kawan yg sudah berumur mohon pengertian waktunya istirahat di rumah ,kakek luhut dan teman yang sudah berumur mohon pengertian waktunya istirahat di rumah,"['kakek', 'luhut', 'dan', 'teman', 'yang', 'sudah', 'berumur', 'mohon', 'pengertian', 'waktunya', 'istirahat', 'di', 'rumah']","['kakek', 'luhut', 'teman', 'berumur', 'mohon', 'pengertian', 'waktunya', 'istirahat', 'rumah']","['kakek', 'luhut', 'teman', 'umur', 'mohon', 'erti', 'waktu', 'istirahat', 'rumah']"
butuh intelijen netijen buat menelanjangi perusuh bangsa sebenarnya yg mengerogoti pemerintahan dari dalam jika terang benderang dalangnya langsung kita tawur ramerame,butuh intelijen netijen buat menelanjangi perusuh bangsa sebenarnya yang mengerogoti pemerintahan dari dalam jika terang benderang dalangnya langsung kita tawur ramerame,"['butuh', 'intelijen', 'netijen', 'buat', 'menelanjangi', 'perusuh', 'bangsa', 'sebenarnya', 'yang', 'mengerogoti', 'pemerintahan', 'dari', 'dalam', 'jika', 'terang', 'benderang', 'dalangnya', 'langsung', 'kita', 'tawur', 'ramerame']","['butuh', 'intelijen', 'netijen', 'buat', 'menelanjangi', 'perusuh', 'bangsa', 'sebenarnya', 'mengerogoti', 'pemerintahan', 'terang', 'benderang', 'dalangnya', 'langsung', 'tawur', 'ramerame']","['butuh', 'intelijen', 'netijen', 'buat', 'telanjang', 'rusuh', 'bangsa', 'benar', 'mengerogoti', 'perintah', 'terang', 'benderang', 'dalang', 'langsung', 'tawur', 'ramerame']"
taulah kan apa yang akan terjadi jika pak purbaya di reshufle sudah pasti rakyat bakal turun ke jalan demo,taulah kan apa yang akan terjadi jika bapak purbaya di reshufle sudah pasti rakyat akan turun ke jalan demo,"['taulah', 'kan', 'apa', 'yang', 'akan', 'terjadi', 'jika', 'bapak', 'purbaya', 'di', 'reshufle', 'sudah', 'pasti', 'rakyat', 'akan', 'turun', 'ke', 'jalan', 'demo']","['taulah', 'kan', 'apa', 'terjadi', 'bapak', 'purbaya', 'reshufle', 'rakyat', 'turun', 'jalan', 'demo']","['tau', 'kan', 'apa', 'jadi', 'bapak', 'purbaya', 'reshufle', 'rakyat', 'turun', 'jalan', 'demo']"
rakyat bersama purbaya ,rakyat bersama purbaya,"['rakyat', 'bersama', 'purbaya']","['rakyat', 'bersama', 'purbaya']","['rakyat', 'sama', 'purbaya']"
republik namun semua ada ditangan partai apa perlu semua partai dihapuskan,republik namun semua ada ditangan partai apa perlu semua partai dihapuskan,"['republik', 'namun', 'semua', 'ada', 'ditangan', 'partai', 'apa', 'perlu', 'semua', 'partai', 'dihapuskan']","['republik', 'semua', 'ditangan', 'partai', 'apa', 'perlu', 'semua', 'partai', 'dihapuskan']","['republik', 'semua', 'tang', 'partai', 'apa', 'perlu', 'semua', 'partai', 'hapus']"
sakit nih pemerintahan pada buta kali ya sama realita udah terlalu nyaman diposisi mereka dengan kekuasanya,sakit ini pemerintahan pada buta kali ya sama realita sudah terlalu nyaman diposisi mereka dengan kekuasanya,"['sakit', 'ini', 'pemerintahan', 'pada', 'buta', 'kali', 'ya', 'sama', 'realita', 'sudah', 'terlalu', 'nyaman', 'diposisi', 'mereka', 'dengan', 'kekuasanya']","['sakit', 'pemerintahan', 'buta', 'kali', 'sama', 'realita', 'terlalu', 'nyaman', 'diposisi', 'kekuasanya']","['sakit', 'perintah', 'buta', 'kali', 'sama', 'realita', 'terlalu', 'nyaman', 'posisi', 'kuasa']"
semoga alah menjaga yang baik dan benar,semoga alah menjaga yang baik dan benar,"['semoga', 'alah', 'menjaga', 'yang', 'baik', 'dan', 'benar']","['semoga', 'alah', 'menjaga', 'baik', 'benar']","['moga', 'alah', 'jaga', 'baik', 'benar']"
maju terus pak tuhan bersama orang yg baik,maju terus bapak tuhan bersama orang yang baik,"['maju', 'terus', 'bapak', 'tuhan', 'bersama', 'orang', 'yang', 'baik']","['maju', 'terus', 'bapak', 'tuhan', 'bersama', 'orang', 'baik']","['maju', 'terus', 'bapak', 'tuhan', 'sama', 'orang', 'baik']"
si luhut wajib di pecat,si luhut wajib di pecat,"['si', 'luhut', 'wajib', 'di', 'pecat']","['si', 'luhut', 'wajib', 'pecat']","['si', 'luhut', 'wajib', 'pecat']"
enak ajagua dukung p purbaya,enak ajagua dukung p purbaya,"['enak', 'ajagua', 'dukung', 'p', 'purbaya']","['enak', 'ajagua', 'dukung', 'p', 'purbaya']","['enak', 'ajagua', 'dukung', 'p', 'purbaya']"
di negara sakit ini orang sehat emang ga di butuhin bakalan disingkirin,di negara sakit ini orang sehat memang tidak di butuhin akan disingkirin,"['di', 'negara', 'sakit', 'ini', 'orang', 'sehat', 'memang', 'tidak', 'di', 'butuhin', 'akan', 'disingkirin']","['negara', 'sakit', 'orang', 'sehat', 'memang', 'tidak', 'butuhin', 'disingkirin']","['negara', 'sakit', 'orang', 'sehat', 'memang', 'tidak', 'butuhin', 'disingkirin']"
lumut aja yg di pecat sambil di pencet udh tuwek ngapain sihbikin pemandangan gak fresh,lumut saja yang di pecat sambil di pencet sudah tuwek apa sihbikin pemandangan tidak segar,"['lumut', 'saja', 'yang', 'di', 'pecat', 'sambil', 'di', 'pencet', 'sudah', 'tuwek', 'apa', 'sihbikin', 'pemandangan', 'tidak', 'segar']","['lumut', 'pecat', 'pencet', 'tuwek', 'apa', 'sihbikin', 'pemandangan', 'tidak', 'segar']","['lumut', 'pecat', 'pencet', 'tuwek', 'apa', 'sihbikin', 'pandang', 'tidak', 'segar']"
indonesia kok susah bener jadi bener,indonesia kok susah benar jadi benar,"['indonesia', 'kok', 'susah', 'benar', 'jadi', 'benar']","['indonesia', 'kok', 'susah', 'benar', 'jadi', 'benar']","['indonesia', 'kok', 'susah', 'benar', 'jadi', 'benar']"
dukung pak purbaya,dukung bapak purbaya,"['dukung', 'bapak', 'purbaya']","['dukung', 'bapak', 'purbaya']","['dukung', 'bapak', 'purbaya']"
pak purbaya menkeu idola gen z kayak gue semangat dan lanjutkan pak mantap dan bravo,bapak purbaya menkeu idola gen z seperti aku semangat dan lanjutkan bapak mantap dan bravo,"['bapak', 'purbaya', 'menkeu', 'idola', 'gen', 'z', 'seperti', 'aku', 'semangat', 'dan', 'lanjutkan', 'bapak', 'mantap', 'dan', 'bravo']","['bapak', 'purbaya', 'menkeu', 'idola', 'gen', 'z', 'aku', 'semangat', 'lanjutkan', 'bapak', 'mantap', 'bravo']","['bapak', 'purbaya', 'menkeu', 'idola', 'gen', 'z', 'aku', 'semangat', 'lanjut', 'bapak', 'mantap', 'bravo']"
 lanjutkan pak,lanjutkan bapak,"['lanjutkan', 'bapak']","['lanjutkan', 'bapak']","['lanjut', 'bapak']"
jangan dengarkan orang lain jalan terus pak anda sudah benar dan sudah dicintai rakyat,jangan dengarkan orang lain jalan terus bapak kamu sudah benar dan sudah dicintai rakyat,"['jangan', 'dengarkan', 'orang', 'lain', 'jalan', 'terus', 'bapak', 'kamu', 'sudah', 'benar', 'dan', 'sudah', 'dicintai', 'rakyat']","['jangan', 'dengarkan', 'orang', 'jalan', 'terus', 'bapak', 'kamu', 'benar', 'dicintai', 'rakyat']","['jangan', 'dengar', 'orang', 'jalan', 'terus', 'bapak', 'kamu', 'benar', 'cinta', 'rakyat']"
luhut luhut periksa itu,luhut luhut periksa itu,"['luhut', 'luhut', 'periksa', 'itu']","['luhut', 'luhut', 'periksa']","['luhut', 'luhut', 'periksa']"
jaman buk sri mulyani kita rakyat kecil di perasternya pak purabaya lebih jago pinter dan tegas dr buk sri,zaman ibu sri mulyani kita rakyat kecil di perasternya bapak purabaya lebih jago pintar dan tegas dari ibu sri,"['zaman', 'ibu', 'sri', 'mulyani', 'kita', 'rakyat', 'kecil', 'di', 'perasternya', 'bapak', 'purabaya', 'lebih', 'jago', 'pintar', 'dan', 'tegas', 'dari', 'ibu', 'sri']","['zaman', 'ibu', 'sri', 'mulyani', 'rakyat', 'kecil', 'perasternya', 'bapak', 'purabaya', 'lebih', 'jago', 'pintar', 'tegas', 'ibu', 'sri']","['zaman', 'ibu', 'sri', 'mulyani', 'rakyat', 'kecil', 'aster', 'bapak', 'purabaya', 'lebih', 'jago', 'pintar', 'tegas', 'ibu', 'sri']"
pak kenapa nga dari dulu aja sih menjabat habis ini bapak pasti banyak yg musuhin semoga bapak selalu dlm lindungan nya beliau patut jd contoh dan teladan untuk menteri dan pejabat negara yg lain,bapak kenapa tidak dari dulu saja sih menjabat habis ini bapak pasti banyak yang musuhin semoga bapak selalu dalam lindungan nya beliau patut jd contoh dan teladan untuk menteri dan pejabat negara yang lain,"['bapak', 'kenapa', 'tidak', 'dari', 'dulu', 'saja', 'sih', 'menjabat', 'habis', 'ini', 'bapak', 'pasti', 'banyak', 'yang', 'musuhin', 'semoga', 'bapak', 'selalu', 'dalam', 'lindungan', 'nya', 'beliau', 'patut', 'jd', 'contoh', 'dan', 'teladan', 'untuk', 'menteri', 'dan', 'pejabat', 'negara', 'yang', 'lain']","['bapak', 'tidak', 'dulu', 'sih', 'menjabat', 'habis', 'bapak', 'banyak', 'musuhin', 'semoga', 'bapak', 'selalu', 'lindungan', 'nya', 'beliau', 'patut', 'jd', 'contoh', 'teladan', 'menteri', 'pejabat', 'negara']","['bapak', 'tidak', 'dulu', 'sih', 'jabat', 'habis', 'bapak', 'banyak', 'musuhin', 'moga', 'bapak', 'selalu', 'lindung', 'nya', 'beliau', 'patut', 'jd', 'contoh', 'teladan', 'menteri', 'jabat', 'negara']"
kembalikan sri mulyani,kembalikan sri mulyani,"['kembalikan', 'sri', 'mulyani']","['kembalikan', 'sri', 'mulyani']","['kembali', 'sri', 'mulyani']"
mantap pak menkeu sikat pengusaha elit tuh ,mantap bapak menkeu sikat pengusaha elit itu,"['mantap', 'bapak', 'menkeu', 'sikat', 'pengusaha', 'elit', 'itu']","['mantap', 'bapak', 'menkeu', 'sikat', 'pengusaha', 'elit']","['mantap', 'bapak', 'menkeu', 'sikat', 'usaha', 'elit']"
susah hidup disini gimana kalau mereka ke luar negeri,susah hidup disini gimana kalau mereka ke luar negeri,"['susah', 'hidup', 'disini', 'gimana', 'kalau', 'mereka', 'ke', 'luar', 'negeri']","['susah', 'hidup', 'disini', 'gimana', 'kalau', 'luar', 'negeri']","['susah', 'hidup', 'sini', 'gimana', 'kalau', 'luar', 'negeri']"
ini yg dicari selama ini,ini yang dicari selama ini,"['ini', 'yang', 'dicari', 'selama', 'ini']","['dicari', 'selama']","['cari', 'lama']"
mahkota mu sedang dalam perjalanan patunguin di rumah,mahkota mu sedang dalam perjalanan patunguin di rumah,"['mahkota', 'mu', 'sedang', 'dalam', 'perjalanan', 'patunguin', 'di', 'rumah']","['mahkota', 'mu', 'sedang', 'perjalanan', 'patunguin', 'rumah']","['mahkota', 'mu', 'sedang', 'jalan', 'patunguin', 'rumah']"
jangan rakyat kecil saja yg dipajak pak tuh orang kaya banyak gak kena pajak,jangan rakyat kecil saja yang dipajak bapak itu orang seperti banyak tidak kena pajak,"['jangan', 'rakyat', 'kecil', 'saja', 'yang', 'dipajak', 'bapak', 'itu', 'orang', 'seperti', 'banyak', 'tidak', 'kena', 'pajak']","['jangan', 'rakyat', 'kecil', 'dipajak', 'bapak', 'orang', 'banyak', 'tidak', 'kena', 'pajak']","['jangan', 'rakyat', 'kecil', 'pajak', 'bapak', 'orang', 'banyak', 'tidak', 'kena', 'pajak']"
nah ini baru petugas rakyat sesunguhnya bukan petugas partai,nah ini baru petugas rakyat sesunguhnya bukan petugas partai,"['nah', 'ini', 'baru', 'petugas', 'rakyat', 'sesunguhnya', 'bukan', 'petugas', 'partai']","['nah', 'baru', 'petugas', 'rakyat', 'sesunguhnya', 'bukan', 'petugas', 'partai']","['nah', 'baru', 'tugas', 'rakyat', 'sesunguhnya', 'bukan', 'tugas', 'partai']"
nah ini baru bener yg di hajar para bosbos bukan rakyat kecil,nah ini baru benar yang di hajar para bosbos bukan rakyat kecil,"['nah', 'ini', 'baru', 'benar', 'yang', 'di', 'hajar', 'para', 'bosbos', 'bukan', 'rakyat', 'kecil']","['nah', 'baru', 'benar', 'hajar', 'bosbos', 'bukan', 'rakyat', 'kecil']","['nah', 'baru', 'benar', 'hajar', 'bosbos', 'bukan', 'rakyat', 'kecil']"
satnya cr angota dpr pak dirut dan kepala daerah yg korupsi,satnya cr angota dpr bapak dirut dan kepala daerah yang korupsi,"['satnya', 'cr', 'angota', 'dpr', 'bapak', 'dirut', 'dan', 'kepala', 'daerah', 'yang', 'korupsi']","['satnya', 'cr', 'angota', 'dpr', 'bapak', 'dirut', 'kepala', 'daerah', 'korupsi']","['sat', 'cr', 'angota', 'dpr', 'bapak', 'dirut', 'kepala', 'daerah', 'korupsi']"
lebih ngeri daripada bendahara kelas,lebih ngeri daripada bendahara kelas,"['lebih', 'ngeri', 'daripada', 'bendahara', 'kelas']","['lebih', 'ngeri', 'bendahara', 'kelas']","['lebih', 'ngeri', 'bendahara', 'kelas']"
smoga bpk slalu dlm lindungan alah swt rezeki bpk beserta kluarga berkah melimpah ,smoga bapak selalu dalam lindungan alah swt rezeki bapak beserta kluarga berkah melimpah,"['smoga', 'bapak', 'selalu', 'dalam', 'lindungan', 'alah', 'swt', 'rezeki', 'bapak', 'beserta', 'kluarga', 'berkah', 'melimpah']","['smoga', 'bapak', 'selalu', 'lindungan', 'alah', 'swt', 'rezeki', 'bapak', 'beserta', 'kluarga', 'berkah', 'melimpah']","['smoga', 'bapak', 'selalu', 'lindung', 'alah', 'swt', 'rezeki', 'bapak', 'serta', 'kluarga', 'berkah', 'limpah']"
pemerintah sebenarnya menyasar kalangan atas bukan kalangan bawah,pemerintah sebenarnya menyasar kalangan atas bukan kalangan bawah,"['pemerintah', 'sebenarnya', 'menyasar', 'kalangan', 'atas', 'bukan', 'kalangan', 'bawah']","['pemerintah', 'sebenarnya', 'menyasar', 'kalangan', 'atas', 'bukan', 'kalangan', 'bawah']","['perintah', 'benar', 'sasar', 'kalang', 'atas', 'bukan', 'kalang', 'bawah']"
mantap ,mantap,['mantap'],['mantap'],['mantap']
nah ini baru bener kalo mau menekan ya tekanlah yg kuat jangan menekan yg rapuh,nah ini baru benar kalau mau menekan ya tekanlah yang kuat jangan menekan yang rapuh,"['nah', 'ini', 'baru', 'benar', 'kalau', 'mau', 'menekan', 'ya', 'tekanlah', 'yang', 'kuat', 'jangan', 'menekan', 'yang', 'rapuh']","['nah', 'baru', 'benar', 'kalau', 'mau', 'menekan', 'tekanlah', 'kuat', 'jangan', 'menekan', 'rapuh']","['nah', 'baru', 'benar', 'kalau', 'mau', 'tekan', 'tekan', 'kuat', 'jangan', 'tekan', 'rapuh']"
memang betul anak nya bilng bapak nya gantin agen cia ,memang betul anak nya bilng bapak nya gantin agen cia,"['memang', 'betul', 'anak', 'nya', 'bilng', 'bapak', 'nya', 'gantin', 'agen', 'cia']","['memang', 'betul', 'anak', 'nya', 'bilng', 'bapak', 'nya', 'gantin', 'agen', 'cia']","['memang', 'betul', 'anak', 'nya', 'bilng', 'bapak', 'nya', 'gantin', 'agen', 'cia']"
gaskeun pakbismilah,gaskeun pakbismilah,"['gaskeun', 'pakbismilah']","['gaskeun', 'pakbismilah']","['gaskeun', 'pakbismilah']"
gas pak ,gas bapak,"['gas', 'bapak']","['gas', 'bapak']","['gas', 'bapak']"
gas ,gas,['gas'],['gas'],['gas']
semoga dilancarkan segala urusan demi perbaikan negeri ini pakde,semoga dilancarkan segala urusan demi perbaikan negeri ini pakde,"['semoga', 'dilancarkan', 'segala', 'urusan', 'demi', 'perbaikan', 'negeri', 'ini', 'pakde']","['semoga', 'dilancarkan', 'segala', 'urusan', 'perbaikan', 'negeri', 'pakde']","['moga', 'lancar', 'segala', 'urus', 'baik', 'negeri', 'pakde']"
ini yg rakyat maugas kan pak,ini yang rakyat maugas kan bapak,"['ini', 'yang', 'rakyat', 'maugas', 'kan', 'bapak']","['rakyat', 'maugas', 'kan', 'bapak']","['rakyat', 'maugas', 'kan', 'bapak']"
mantap pak ,mantap bapak,"['mantap', 'bapak']","['mantap', 'bapak']","['mantap', 'bapak']"
jngn rakyat aj yg dikejar pajak,jngn rakyat saja yang dikejar pajak,"['jngn', 'rakyat', 'saja', 'yang', 'dikejar', 'pajak']","['jngn', 'rakyat', 'dikejar', 'pajak']","['jngn', 'rakyat', 'kejar', 'pajak']"
rakyat harus backup pak menteri kita ini,rakyat harus backup bapak menteri kita ini,"['rakyat', 'harus', 'backup', 'bapak', 'menteri', 'kita', 'ini']","['rakyat', 'backup', 'bapak', 'menteri']","['rakyat', 'backup', 'bapak', 'menteri']"
gas pol pak mentri,gas pol bapak mentri,"['gas', 'pol', 'bapak', 'mentri']","['gas', 'pol', 'bapak', 'mentri']","['gas', 'pol', 'bapak', 'tri']"
saya suka cara bapak ini keras ke org besar klw yg lama beraninya ke yg kecil,aku suka cara bapak ini keras ke orang besar klw yang lama beraninya ke yang kecil,"['aku', 'suka', 'cara', 'bapak', 'ini', 'keras', 'ke', 'orang', 'besar', 'klw', 'yang', 'lama', 'beraninya', 'ke', 'yang', 'kecil']","['aku', 'suka', 'cara', 'bapak', 'keras', 'orang', 'besar', 'klw', 'lama', 'beraninya', 'kecil']","['aku', 'suka', 'cara', 'bapak', 'keras', 'orang', 'besar', 'klw', 'lama', 'berani', 'kecil']"
sri mulyani beruntung hidup di indo sri beruntung gak diseret dipengal kepalanya sat didemo,sri mulyani beruntung hidup di indonesia sri beruntung tidak diseret dipengal kepalanya sat didemo,"['sri', 'mulyani', 'beruntung', 'hidup', 'di', 'indonesia', 'sri', 'beruntung', 'tidak', 'diseret', 'dipengal', 'kepalanya', 'sat', 'didemo']","['sri', 'mulyani', 'beruntung', 'hidup', 'indonesia', 'sri', 'beruntung', 'tidak', 'diseret', 'dipengal', 'kepalanya', 'sat', 'didemo']","['sri', 'mulyani', 'untung', 'hidup', 'indonesia', 'sri', 'untung', 'tidak', 'seret', 'dipengal', 'kepala', 'sat', 'demo']"
jika negara ingin maju ya gebrakanya harus seperti ini,jika negara ingin maju ya gebrakanya harus seperti ini,"['jika', 'negara', 'ingin', 'maju', 'ya', 'gebrakanya', 'harus', 'seperti', 'ini']","['negara', 'maju', 'gebrakanya']","['negara', 'maju', 'gebrakanya']"
prabowo sudah sangat tepat pilih menteri,prabowo sudah sangat tepat pilih menteri,"['prabowo', 'sudah', 'sangat', 'tepat', 'pilih', 'menteri']","['prabowo', 'sangat', 'tepat', 'pilih', 'menteri']","['prabowo', 'sangat', 'tepat', 'pilih', 'menteri']"
kalangan atas mulai kawatir sikat pak rakyat mendukungmu,kalangan atas mulai kawatir sikat bapak rakyat mendukungmu,"['kalangan', 'atas', 'mulai', 'kawatir', 'sikat', 'bapak', 'rakyat', 'mendukungmu']","['kalangan', 'atas', 'mulai', 'kawatir', 'sikat', 'bapak', 'rakyat', 'mendukungmu']","['kalang', 'atas', 'mulai', 'kawatir', 'sikat', 'bapak', 'rakyat', 'dukung']"
baru berapa bulan udah ada aja gebrakanya,baru berapa bulan sudah ada saja gebrakanya,"['baru', 'berapa', 'bulan', 'sudah', 'ada', 'saja', 'gebrakanya']","['baru', 'berapa', 'bulan', 'gebrakanya']","['baru', 'berapa', 'bulan', 'gebrakanya']"
awas dintelin heters pa semoga orang ini terlindungi biasanya klo yg cerdas dan krjanya bener bnyak musuh,awas dintelin heters bapak semoga orang ini terlindungi biasanya kalau yang cerdas dan krjanya benar bnyak musuh,"['awas', 'dintelin', 'heters', 'bapak', 'semoga', 'orang', 'ini', 'terlindungi', 'biasanya', 'kalau', 'yang', 'cerdas', 'dan', 'krjanya', 'benar', 'bnyak', 'musuh']","['awas', 'dintelin', 'heters', 'bapak', 'semoga', 'orang', 'terlindungi', 'biasanya', 'kalau', 'cerdas', 'krjanya', 'benar', 'bnyak', 'musuh']","['awas', 'dintelin', 'heters', 'bapak', 'moga', 'orang', 'lindung', 'biasa', 'kalau', 'cerdas', 'krjanya', 'benar', 'bnyak', 'musuh']"
gas truz paknetizen di belakang mu,gas truz paknetizen di belakang mu,"['gas', 'truz', 'paknetizen', 'di', 'belakang', 'mu']","['gas', 'truz', 'paknetizen', 'belakang', 'mu']","['gas', 'truz', 'paknetizen', 'belakang', 'mu']"
jadi heran knp srimulyani awet,jadi heran kenapa srimulyani awet,"['jadi', 'heran', 'kenapa', 'srimulyani', 'awet']","['jadi', 'heran', 'srimulyani', 'awet']","['jadi', 'heran', 'srimulyani', 'awet']"
ternak nya ratu pajak agen imf lg kebakaran jengot,ternak nya ratu pajak agen imf lagi kebakaran jengot,"['ternak', 'nya', 'ratu', 'pajak', 'agen', 'imf', 'lagi', 'kebakaran', 'jengot']","['ternak', 'nya', 'ratu', 'pajak', 'agen', 'imf', 'kebakaran', 'jengot']","['ternak', 'nya', 'ratu', 'pajak', 'agen', 'imf', 'bakar', 'jengot']"
c sri mul memang gda guna nya selama ini,c sri mul memang gda guna nya selama ini,"['c', 'sri', 'mul', 'memang', 'gda', 'guna', 'nya', 'selama', 'ini']","['c', 'sri', 'mul', 'memang', 'gda', 'nya', 'selama']","['c', 'sri', 'mul', 'memang', 'gda', 'nya', 'lama']"
masih ada yg bangain sri mulayani ,masih ada yang bangain sri mulayani,"['masih', 'ada', 'yang', 'bangain', 'sri', 'mulayani']","['bangain', 'sri', 'mulayani']","['bangain', 'sri', 'mulayani']"
pajak orang kaya,pajak orang seperti,"['pajak', 'orang', 'seperti']","['pajak', 'orang']","['pajak', 'orang']"
emang agak lain mentri yg satu ini gas pak,memang agak lain mentri yang satu ini gas bapak,"['memang', 'agak', 'lain', 'mentri', 'yang', 'satu', 'ini', 'gas', 'bapak']","['memang', 'mentri', 'satu', 'gas', 'bapak']","['memang', 'tri', 'satu', 'gas', 'bapak']"
